Run Date,8/18/2015 09:03:15
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,tempC,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
64,156218,0,0,0,118,6,0,40173,42163,41330,42779,44308,48000,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,83,74,66,44,60,55,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
65,157234,0,0,0,119,6,0,40180,42163,41329,42778,44314,48000,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,76,74,67,45,54,55,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
66,158234,0,0,0,120,6,0,40186,42162,41329,42772,44293,48001,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,70,75,67,51,75,54,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
67,159234,0,0,0,121,6,0,40182,42155,41328,42775,44307,48014,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,74,82,68,48,61,41,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
68,160234,0,0,0,122,6,0,40177,42161,41333,42773,44296,47992,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,79,76,63,50,72,63,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
69,161218,0,0,0,123,6,0,40181,42155,41327,42770,44311,48008,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,75,82,69,53,57,47,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
70,162234,0,0,0,124,6,0,40181,42162,41337,42781,44309,48009,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,75,75,59,42,59,46,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
71,163234,0,0,0,125,6,0,40175,42170,41333,42765,44303,47991,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,81,67,63,58,65,64,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
72,164218,0,0,0,126,6,0,40181,42165,41334,42774,44307,47997,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,75,72,62,49,61,58,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
73,165234,0,0,0,127,6,0,40181,42158,41332,42771,44311,48000,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,75,79,64,52,57,55,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
74,166234,0,0,0,128,6,0,40179,42163,41333,42770,44308,47996,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,77,74,63,53,60,59,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
75,167234,0,0,0,129,6,0,40180,42158,41323,42770,44298,47993,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,76,79,73,53,70,62,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
76,168234,0,0,0,130,6,0,40166,42166,41326,42768,44302,47995,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,90,71,70,55,66,60,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
77,169218,0,0,0,131,6,0,40167,42155,41326,42772,44305,47992,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,89,82,70,51,63,63,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
78,170234,0,0,0,132,6,0,40171,42154,41322,42765,44309,47990,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,85,83,74,58,59,65,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
79,171234,0,0,0,133,6,0,40165,42156,41326,42769,44302,47985,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,91,81,70,54,66,70,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
80,172218,0,0,0,134,6,0,40172,42162,41328,42770,44299,47985,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,84,75,68,53,69,70,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
81,173234,0,0,0,135,6,0,40171,42153,41332,42772,44305,47997,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,85,84,64,51,63,58,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
82,174234,0,0,0,136,6,0,40169,42157,41336,42769,44307,47994,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,87,80,60,54,61,61,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
83,175234,0,0,0,137,6,0,40165,42156,41332,42769,44303,48000,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,91,81,64,54,65,55,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
84,176234,0,0,0,138,6,0,40168,42159,41335,42762,44308,47992,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,88,78,61,61,60,63,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
85,177218,0,0,0,139,6,0,40167,42157,41333,42759,44304,47986,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,89,80,63,64,64,69,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
86,178234,0,0,0,140,6,0,40165,42155,41327,42762,44305,47994,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,91,82,69,61,63,61,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
87,179234,0,0,0,141,6,0,40166,42151,41327,42764,44312,47994,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,90,86,69,59,56,61,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
88,180234,0,0,0,142,6,0,40206,42153,41316,42761,44292,47985,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,50,84,80,62,76,70,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
89,181234,0,0,0,143,6,0,40168,42156,41321,42765,44282,47989,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,88,81,75,58,86,66,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
90,182234,0,0,0,144,6,0,40152,42143,41310,42753,44260,47985,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,104,94,86,70,108,70,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
91,183234,0,0,0,145,6,0,40187,42180,41322,42776,44298,48002,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,69,57,74,47,70,53,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
92,184234,0,0,0,146,6,0,40170,42168,41319,42758,44271,47982,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,86,69,77,65,97,73,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
93,185234,0,0,0,147,6,0,40190,42213,41371,42806,44316,48020,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,66,24,25,17,52,35,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
94,186234,0,0,0,148,6,0,40204,42263,41388,42814,44317,48016,40256,42263,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,52,-26,8,9,51,39,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
95,187234,0,0,0,149,6,0,40195,42241,41359,42780,44260,47948,40256,42263,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,61,22,37,43,108,107,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
96,188234,0,4,f,150,7,0,18668,13771,24227,42149,44048,47892,40256,42263,41396,42823,44368,48055,18668,13771,24227,42149,44048,47822,21588,28492,17169,674,320,163,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
97,189234,0,3,7,151,8,0,11567,32008,40543,42518,44211,47960,40256,42263,41396,42823,44368,48055,11567,13771,24227,42149,44048,47822,28689,10255,853,305,157,95,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
98,190234,0,4,33,152,9,0,38451,41773,41042,42523,43620,47205,40256,42263,41396,42823,44368,48055,11567,13771,24227,42149,43620,47205,1805,490,354,300,748,850,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
99,191234,0,4,33,153,10,0,37778,41850,40993,42522,43774,47213,40256,42263,41396,42823,44368,48055,11567,13771,24227,42149,43620,47205,2478,413,403,301,594,842,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
100,192234,376,6,3f,0,10,0,31848,17642,19976,31220,41547,47165,40256,42263,41396,42823,44368,48055,11567,13771,19976,31220,41547,47165,8408,24621,21420,11603,2821,890,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
101,193250,376,6,3f,0,10,0,16793,12574,14799,21372,30926,45678,40256,42263,41396,42823,44368,48055,11567,12574,14799,21372,30926,45678,23463,29689,26597,21451,13442,2377,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
102,194234,376,6,3f,0,10,0,12605,11287,14256,20520,34358,47282,40256,42263,41396,42823,44368,48055,11567,11287,14256,20520,30926,45678,27651,30976,27140,22303,10010,773,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
103,195234,335,5,3e,0,10,0,6144,12383,17402,24920,29362,23042,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,29362,23042,-31424,29880,23994,17903,15006,25013,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
104,196234,335,5,3e,0,10,0,6514,12548,17827,27640,29326,22946,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,29326,22946,-31794,29715,23569,15183,15042,25109,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
105,197234,335,5,3e,0,10,0,6522,12533,17834,27649,29151,22572,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,29151,22572,-31802,29730,23562,15174,15217,25483,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
106,198234,335,5,3e,0,10,0,6517,12522,17826,27589,28986,22293,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,28986,22293,-31797,29741,23570,15234,15382,25762,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
